upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
248;356120;32;Fulbaria;?????????;525692;708954;0;151;0;1;,
249;356122;32;Gaffargaon;???????;555730;688262;0;155;0;1;,
250;356123;32;Gauripur;???????;561151;727749;0;148;0;1;,
251;356124;32;Haluaghat;?????????;534248;765332;0;146;0;1;,
252;356131;32;Ishwarganj;?????????;559619;716350;0;153;0;1;,
253;356152;32;Mymensingh Sadar;???????? ???;536627;729762;0;149;0;1;,
254;356165;32;Muktagachha;??????????;520936;726778;0;150;0;1;,
255;356172;32;Nandail;???????;568770;705381;0;154;0;1;,
256;356181;32;Phulpur;??????;535688;749706;0;147;0;1;,
257;356188;32;Tarakanda;??????????;547658;739933;0;147;0;1;,
258;356194;32;Trishal;???????;541725;706961;0;152;0;1;,
259;357204;33;Atpara;??????;588504;732488;0;159;0;1;,
260;357209;33;Barhatta;?????????;589117;746616;0;158;0;1;,
261;357218;33;Durgapur;?????????;568824;764995;0;157;0;1;,
262;357238;33;Khaliajuri;???????????;614172;724931;0;160;0;1;,
263;357240;33;Kalmakanda;??????????;586143;763666;0;157;0;1;,
264;357247;33;Kendua;????????;580393;720590;0;159;0;1;,
265;357256;33;Madan;???;597293;719770;0;160;0;1;,
266;357263;33;Mohanganj;????????;603135;736206;0;160;0;1;,
267;357274;33;Netrokona Sadar;????????? ???;574341;743514;0;157;0;1;,
268;357283;33;Purbadhala;????????;560818;747689;0;161;0;1;,
269;358937;34;Jhenaigati;?????????;505495;774898;0;145;0;1;,
270;358967;34;Nakla;????;518703;750196;0;144;0;1;,
271;358970;34;Nalitabari;??????????;518656;767946;0;144;0;1;,
272;358988;34;Sherpur Sadar;?????? ???;502182;754170;0;143;0;1;,
273;358990;34;Sreebardi;?????????;495687;773183;0;145;0;1;,
274;400108;35;Bagerhat Sadar;???????? ???;476039;499891;0;96;0;1;,
275;400114;35;Chitalmari;????????;486433;513534;0;95;0;1;,
276;400134;35;Fakirhat;???????;466137;505894;0;95;0;1;,
277;400138;35;Kachua;?????;487292;496066;0;96;0;1;,
278;400156;35;Mollahat;????????? ;477153;521438;0;95;0;1;,
279;400158;35;Mongla;????;471729;435475;0;97;0;1;,
280;400160;35;Morrelganj;?????????;483246;477495;0;98;0;1;,
281;400173;35;Rampal;??????;466163;489362;0;97;0;1;,
282;400177;35;Sarankhola;?????????;481926;458864;0;98;0;1;,
283;401807;36;Alamdanga;?????????;389357;615194;0;79;0;1;,
284;401823;36;Chuadanga Sadar;?????????? ???;386817;599662;0;80;79;0;1,
285;401831;36;Damurhuda;?????????;372076;600354;0;80;0;1;,
286;401855;36;Jiban Nagar;???? ??? ;383235;583605;0;80;0;1;,
287;404104;37;Abhaynagar;??????;441008;536440;0;88;0;1;,
288;404109;37;Bagher Para;??????????;432528;561339;0;88;0;1;,
289;404111;37;Chaugachha;??????;400474;563564;0;86;0;1;,
290;404123;37;Jhikargachha;????????;403661;542082;0;86;0;1;,
291;404138;37;Keshabpur;???????;421693;521538;0;90;0;1;,
292;404147;37;Jashore Sadar;????;420642;554588;0;87;0;1;,
293;404161;37;Manirampur;????????? ;420660;535360;0;89;0;1;,
294;404190;37;Sharsha;??????;392099;539699;0;85;0;1;,
295;404414;38;Harinakunda;???????????;406573;605531;0;82;0;1;,
296;404419;38;Jhenaidaha Sadar;??????? ???;414642;591558;0;82;0;1;,
297;404433;38;Kaliganj;????????;414069;575306;0;84;0;1;,
298;404442;38;Kotchandpur;?????????? ;398742;583671;0;83;0;1;,
299;404471;38;Maheshpur;???????;383991;570135;0;83;0;1;,
300;404480;38;Shailkupa;???????;423319;607562;0;81;0;1;,
301;404712;39;Batiaghata;?????????? ;450739;502796;0;99;0;1;,
302;404717;39;Dacope;?????;451414;449725;0;99;0;1;,
303;404721;39;Daulatpur;???????;450767;520339;0;???;0;1;,
304;404730;39;Dumuria;????????;438670;512996;0;103;0;1;,
305;404740;39;Dighalia;???????;454033;524531;0;102;0;1;,
306;404745;39;Khalishpur;????????;452420;518189;0;101;0;1;,
307;404748;39;Khanjahan Ali;???????? ???;449030;522040;0;101;0;1;,
308;404751;39;Khulna Sadar;????? ???;455134;513980;0;100?;0;1;,
309;404753;39;Koyra;????;437437;433039;0;104;0;1;,
310;404764;39;Paikgachha;????????;432707;489340;0;104;0;1;,
311;404769;39;Phultala;??????;444417;528798;0;103;0;1;,
312;404775;39;Rupsa;?????;463133;514506;0;102;0;1;,
313;404785;39;Sonadanga;??????????;453758;514144;0;100;0;1;,
314;404794;39;Terokhada;????????;464147;525412;0;102;0;1;,
315;405015;40;Bheramara;????????;397013;651234;0;76;0;1;,
316;405039;40;Daulatpur;???????;382025;649104;0;75;0;1;,
317;405063;40;Khoksa;?????;428778;622565;0;78;0;1;,
318;405071;40;Kumarkhali;?????????;420772;629208;0;78;0;1;,
319;405079;40;Kushtia Sadar;???????? ???;407860;625358;0;77;0;1;,
320;405094;40;Mirpur;??????;397398;633602;0;76;0;1;,
321;405557;41;Magura Sadar;?????? ???;440538;584338;0;91;92;0;1,
322;405566;41;Mohammadpur;????????????;454532;578756;0;92;0;1;,
323;405585;41;Shalikha;??????;435184;572838;0;;0;1;,
324;405595;41;Sreepur;???????;441792;600339;0;91;0;1;,
325;405747;42;Gangni;?????;375479;629493;0;74;0;1;,
326;405760;42;Mujib Nagar;????????;360004;608591;0;73;0;1;,
327;405787;42;Meherpur Sadar;???????? ???;364140;619260;0;73;0;1;,
